	Event	Transcript Name	Link
WWDC24			
	WWDC24	18 things from WWDC24	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-111976/eng_bdd89e7893f9/wwdc2024-111976-transcript-eng.json
	WWDC24	Bring context to today’s weather	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10067/eng_8d6b40e9336d/wwdc2024-10067-transcript-eng.json
	WWDC24	Bring your Live Activity to Apple Watch	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10068/eng_cb5b3cef853d/wwdc2024-10068-transcript-eng.json
	WWDC24	Bring your app to Siri	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10133/eng_6bfa0ce95261/wwdc2024-10133-transcript-eng.json
	WWDC24	Bring your app’s core features to users with App Intents	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10210/eng_4243621a1edc/wwdc2024-10210-transcript-eng.json
	WWDC24	Bring your machine learning and AI models to Apple silicon	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10159/eng_16564e7af718/wwdc2024-10159-transcript-eng.json
	WWDC24	Build compelling spatial photo and video experiences	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10166/eng_c3ce7fe84800/wwdc2024-10166-transcript-eng.json
	WWDC24	Compose interactive 3D content in Reality Composer Pro	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10102/eng_b424a6d03139/wwdc2024-10102-transcript-eng.json
	WWDC24	Create enhanced spatial computing experiences with ARKit	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10100/eng_58a893d22ebc/wwdc2024-10100-transcript-eng.json
	WWDC24	Design advanced games for Apple platforms	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10085/eng_2790cbba7aa7/wwdc2024-10085-transcript-eng.json
	WWDC24	Design great visionOS apps	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10086/eng_2407b8775c5e/wwdc2024-10086-transcript-eng.json
	WWDC24	Discover RealityKit APIs for iOS, macOS, and visionOS	https://devimages-cdn.apple.com/wwdc-services/transcripts/individual/wwdc2024/wwdc2024-10103/eng_baa87d563ec5/wwdc2024-10103-transcript-eng.json
